key_resp.keys,key_resp.rt,key_resp_16.keys,key_resp_16.rt,key_resp_2.keys,key_resp_2.rt,X Scale,ratio_pxpermm,screen_size_x,screen_size_y,testsize,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,line_size,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_8.keys,key_resp_8.rt,key_resp_7.keys,key_resp_7.rt,key_resp_12.keys,key_resp_12.rt,key_resp_11.keys,key_resp_11.rt,key_resp_18.keys,key_resp_18.rt,key_resp_21.keys,key_resp_21.rt,key_resp_13.keys,key_resp_13.rt,key_resp_19.keys,key_resp_19.rt,ballposx,viewer_distance,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,viewerdistancecm,DVA_to_distance,radius_F,radius_P,r_F,R_P,key_resp_20.keys,key_resp_20.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,Colour_1,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,Colour_2,similarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,catchnumberprac,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,mouse_7.clicked_name,catchprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,Colour1,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,catchresponse,catchnumber,catchtrialorder,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trialnumber,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,mouse_3.clicked_name,mouse_11.clicked_name,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,answer1,rt1,answer2,rt2,answer3,rt3,answer4,rt4,answer5,rt5,answer6,rt6,answer7,rt7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5ac56ef9fa3b4e0001737190,5fb5f1525434b8016d33ffbb,2020-11-19_01h15.45.795,Colour_Similarity_Experiment,2020.1.2,Win32,60,5fb5945709dec70f2d595766,,,,,,,,,,,,,,,,,,,9,PF,68,113,1,0,0,response1disk_5,5,7,3.009405,8,5,1,0,0,rectangle_8,8,5,1,0,0,3,8,5,1,0,0,0,5,5,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5ac56ef9fa3b4e0001737190,5fb5f1525434b8016d33ffbb,2020-11-19_01h15.45.795,Colour_Similarity_Experiment,2020.1.2,Win32,60,5fb5945709dec70f2d595766,,,,,,,,,,,,,,,,,,,8,PF,54,96,1,0,0,response1disk_5,5,7,2.80151,-6,-5,1,0,0,rectangle_8,-6,-5,1,0,0,3,-6,-5,1,0,0,0,6,6,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5ac56ef9fa3b4e0001737190,5fb5f1525434b8016d33ffbb,2020-11-19_01h15.45.795,Colour_Similarity_Experiment,2020.1.2,Win32,60,5fb5945709dec70f2d595766,,,,,,,,,,,,,,,,,,,,PF,,,,,,,,0,2.39319,,,,,,,,,,,,,,,,,,,,,,,,,,space,16.1251,9,-40,109,1,0,0,response7disk,9,-3,-5,1,0,0,rectangle,-3,-5,1,0,0,,5,"[260,151,153,292,168,216,221,274,21,110,59,265,208,51,71,159,8,252,291,46]",-3,-5,1,0,0,1,0,0,0,106,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5ac56ef9fa3b4e0001737190,5fb5f1525434b8016d33ffbb,2020-11-19_01h15.45.795,Colour_Similarity_Experiment,2020.1.2,Win32,60,5fb5945709dec70f2d595766,,,,,,,,,,,,,,,,,,,,FF,,,,,,,,7,2.620715,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,92,115,1,0,0,response1disk,9,13,-11,1,0,0,rectangle,13,-11,1,0,0,,5,"[260,151,153,292,168,216,221,274,21,110,59,265,208,51,71,159,8,252,291,46]",13,-11,1,0,0,2,0,1,1,155,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5ac56ef9fa3b4e0001737190,5fb5f1525434b8016d33ffbb,2020-11-19_01h15.45.795,Colour_Similarity_Experiment,2020.1.2,Win32,60,5fb5945709dec70f2d595766,,,,,,,,,,,,,,,,,,,,FF,,,,,,,,4,3.59568,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,59,-131,1,0,0,response3disk,6,4,4,1,0,0,rectangle,4,4,1,0,0,,1,"[260,151,153,292,168,216,221,274,21,110,59,265,208,51,71,159,8,252,291,46]",4,4,1,0,0,3,0,2,2,12,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5ac56ef9fa3b4e0001737190,5fb5f1525434b8016d33ffbb,2020-11-19_01h15.45.795,Colour_Similarity_Experiment,2020.1.2,Win32,60,5fb5945709dec70f2d595766,,,,,,,,,,,,,,,,,,,,FF,,,,,,,,3,3.957625,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,-68,-93,1,0,0,response5disk,4,-2,-4,1,0,0,rectangle,-2,-4,1,0,0,,7,"[260,151,153,292,168,216,221,274,21,110,59,265,208,51,71,159,8,252,291,46]",-2,-4,1,0,0,4,0,3,3,110,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5ac56ef9fa3b4e0001737190,5fb5f1525434b8016d33ffbb,2020-11-19_01h15.45.795,Colour_Similarity_Experiment,2020.1.2,Win32,60,5fb5945709dec70f2d595766,,,,,,,,,,,,,,,,,,,,PF,,,,,,,,6,2.37123,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,123,89,1,0,0,response1disk,1,-7,11,1,0,0,rectangle,-7,11,1,0,0,,3,"[260,151,153,292,168,216,221,274,21,110,59,265,208,51,71,159,8,252,291,46]",-7,11,1,0,0,5,0,4,4,96,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5ac56ef9fa3b4e0001737190,5fb5f1525434b8016d33ffbb,2020-11-19_01h15.45.795,Colour_Similarity_Experiment,2020.1.2,Win32,60,5fb5945709dec70f2d595766,,,,,,,,,,,,,,,,,,,,PF,,,,,,,,7,1.99472,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,89,127,1,0,0,response1disk,9,5,-9,1,0,0,rectangle,5,-9,1,0,0,,3,"[260,151,153,292,168,216,221,274,21,110,59,265,208,51,71,159,8,252,291,46]",5,-9,1,0,0,6,0,5,5,45,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5ac56ef9fa3b4e0001737190,5fb5f1525434b8016d33ffbb,2020-11-19_01h15.45.795,Colour_Similarity_Experiment,2020.1.2,Win32,60,5fb5945709dec70f2d595766,,,,,,,,,,,,,,,,,,,,PF,,,,,,,,3,2.10368,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-52,-126,1,0,0,response5disk,2,-11,-5,1,0,0,rectangle,-11,-5,1,0,0,,1,"[260,151,153,292,168,216,221,274,21,110,59,265,208,51,71,159,8,252,291,46]",-11,-5,1,0,0,7,0,6,6,24,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5ac56ef9fa3b4e0001737190,5fb5f1525434b8016d33ffbb,2020-11-19_01h15.45.795,Colour_Similarity_Experiment,2020.1.2,Win32,60,5fb5945709dec70f2d595766,,,,,,,,,,,,,,,,,,,,PF,,,,,,,,0,1.900515,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-47,96,1,0,0,response7disk,1,8,-4,1,0,0,rectangle,-88,-54,1,0,0,,2,"[260,151,153,292,168,216,221,274,21,110,59,265,208,51,71,159,8,252,291,46]",-12,-5,1,0,0,8,0,7,7,76,1,response5disk_3,rectangle,,,,,,,,,,,,,,,,,,,
