key_resp.keys,key_resp.rt,key_resp_16.keys,key_resp_16.rt,key_resp_2.keys,key_resp_2.rt,X Scale,ratio_pxpermm,screen_size_x,screen_size_y,testsize,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,line_size,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_8.keys,key_resp_8.rt,key_resp_7.keys,key_resp_7.rt,key_resp_12.keys,key_resp_12.rt,key_resp_11.keys,key_resp_11.rt,key_resp_18.keys,key_resp_18.rt,key_resp_21.keys,key_resp_21.rt,key_resp_13.keys,key_resp_13.rt,key_resp_19.keys,key_resp_19.rt,ballposx,viewer_distance,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,viewerdistancecm,DVA_to_distance,radius_F,radius_P,r_F,R_P,key_resp_20.keys,key_resp_20.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,Colour_1,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,Colour_2,similarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_7.clicked_name,catchprac,catchnumberprac,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,mouse_6.clicked_name,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,key_resp_22.keys,key_resp_22.rt,Colour1,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,catchresponse,catchnumber,catchtrialorder,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trialnumber,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,mouse_3.clicked_name,mouse_11.clicked_name,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,answer1,rt1,answer2,rt2,answer3,rt3,answer4,rt4,answer5,rt5,answer6,rt6,answer7,rt7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5b99c0a6a9c8150001d33bbc,5fb5d99cb10d321e67cdf81e,2020-11-18_18h43.25.664,Colour_Similarity_Experiment,2020.1.2,Win32,60,5fb5945709dec70f2d595766,,,,,,,,,,,,,,,,,,,6,FF,37,-93.5,1,0,0,response3disk_5,4,4,4.5633,6,4.5,1,0,0,rectangle_8,6,4.5,1,0,0,,,6,6,4.5,1,0,0,,0,5,5,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5b99c0a6a9c8150001d33bbc,5fb5d99cb10d321e67cdf81e,2020-11-18_18h43.25.664,Colour_Similarity_Experiment,2020.1.2,Win32,60,5fb5945709dec70f2d595766,,,,,,,,,,,,,,,,,,,4,PF,91,34.5,1,0,0,response1disk_5,8,6,3.000535,-2,1.5,1,0,0,rectangle_8,-2,1.5,1,0,0,,,6,-2,1.5,1,0,0,,0,6,6,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5b99c0a6a9c8150001d33bbc,5fb5d99cb10d321e67cdf81e,2020-11-18_18h43.25.664,Colour_Similarity_Experiment,2020.1.2,Win32,60,5fb5945709dec70f2d595766,,,,,,,,,,,,,,,,,,,,PF,,,,,,,,6,2.041635,,,,,,,,,,,,,,,,,,,,,,,,,,space,2.50667,9,71,28.5,1,0,0,response1disk,7,7,-4.5,1,0,0,rectangle,7,-4.5,1,0,0,,0,"[196,148,267,171,55,213,167,12,286,205,229,274,11,91,182,177,34,319,95,97]",7,-4.5,1,0,0,0,1,0,0,121,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5b99c0a6a9c8150001d33bbc,5fb5d99cb10d321e67cdf81e,2020-11-18_18h43.25.664,Colour_Similarity_Experiment,2020.1.2,Win32,60,5fb5945709dec70f2d595766,,,,,,,,,,,,,,,,,,,,FF,,,,,,,,4,4.261985,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,41,-93.5,1,0,0,response3disk,5,14,-3.5,1,0,0,rectangle,14,-3.5,1,0,0,,5,"[196,148,267,171,55,213,167,12,286,205,229,274,11,91,182,177,34,319,95,97]",14,-3.5,1,0,0,0,2,1,1,152,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5b99c0a6a9c8150001d33bbc,5fb5d99cb10d321e67cdf81e,2020-11-18_18h43.25.664,Colour_Similarity_Experiment,2020.1.2,Win32,60,5fb5945709dec70f2d595766,,,,,,,,,,,,,,,,,,,,FF,,,,,,,,6,1.9867,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,84,19.5,1,0,0,response1disk,7,11,-2.5,1,0,0,rectangle,11,-2.5,1,0,0,,2,"[196,148,267,171,55,213,167,12,286,205,229,274,11,91,182,177,34,319,95,97]",11,-2.5,1,0,0,0,3,2,2,100,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5b99c0a6a9c8150001d33bbc,5fb5d99cb10d321e67cdf81e,2020-11-18_18h43.25.664,Colour_Similarity_Experiment,2020.1.2,Win32,60,5fb5945709dec70f2d595766,,,,,,,,,,,,,,,,,,,,PF,,,,,,,,0,2.17238,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,-37,79.5,1,0,0,response7disk,5,3,-5.5,1,0,0,rectangle,3,-5.5,1,0,0,,6,"[196,148,267,171,55,213,167,12,286,205,229,274,11,91,182,177,34,319,95,97]",3,-5.5,1,0,0,0,4,3,3,94,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5b99c0a6a9c8150001d33bbc,5fb5d99cb10d321e67cdf81e,2020-11-18_18h43.25.664,Colour_Similarity_Experiment,2020.1.2,Win32,60,5fb5945709dec70f2d595766,,,,,,,,,,,,,,,,,,,,FF,,,,,,,,3,2.15812,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,-45,-85.5,1,0,0,response5disk,5,-2,4.5,1,0,0,rectangle,-2,4.5,1,0,0,,2,"[196,148,267,171,55,213,167,12,286,205,229,274,11,91,182,177,34,319,95,97]",-2,4.5,1,0,0,0,5,4,4,126,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5b99c0a6a9c8150001d33bbc,5fb5d99cb10d321e67cdf81e,2020-11-18_18h43.25.664,Colour_Similarity_Experiment,2020.1.2,Win32,60,5fb5945709dec70f2d595766,,,,,,,,,,,,,,,,,,,,PF,,,,,,,,6,1.651825,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,104,57.5,1,0,0,response1disk,2,-8,1.5,1,0,0,rectangle,-8,1.5,1,0,0,,1,"[196,148,267,171,55,213,167,12,286,205,229,274,11,91,182,177,34,319,95,97]",-8,1.5,1,0,0,0,6,5,5,83,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5b99c0a6a9c8150001d33bbc,5fb5d99cb10d321e67cdf81e,2020-11-18_18h43.25.664,Colour_Similarity_Experiment,2020.1.2,Win32,60,5fb5945709dec70f2d595766,,,,,,,,,,,,,,,,,,,,FF,,,,,,,,4,1.384845,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,36,-70.5,1,0,0,response3disk,3,4,-0.5,1,0,0,rectangle,4,-0.5,1,0,0,,4,"[196,148,267,171,55,213,167,12,286,205,229,274,11,91,182,177,34,319,95,97]",4,-0.5,1,0,0,0,7,6,6,99,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5b99c0a6a9c8150001d33bbc,5fb5d99cb10d321e67cdf81e,2020-11-18_18h43.25.664,Colour_Similarity_Experiment,2020.1.2,Win32,60,5fb5945709dec70f2d595766,,,,,,,,,,,,,,,,,,,,PF,,,,,,,,7,1.73552,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,53,70.5,1,0,0,response1disk,8,-5,3.5,1,0,0,rectangle,-5,3.5,1,0,0,,3,"[196,148,267,171,55,213,167,12,286,205,229,274,11,91,182,177,34,319,95,97]",-5,3.5,1,0,0,0,8,7,7,124,1,,,,,,,,,,,,,,,,,,,,,
