key_resp.keys,key_resp.rt,key_resp_16.keys,key_resp_16.rt,key_resp_2.keys,key_resp_2.rt,X Scale,ratio_pxpermm,screen_size_x,screen_size_y,testsize,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,line_size,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_8.keys,key_resp_8.rt,key_resp_7.keys,key_resp_7.rt,key_resp_12.keys,key_resp_12.rt,key_resp_11.keys,key_resp_11.rt,key_resp_18.keys,key_resp_18.rt,key_resp_21.keys,key_resp_21.rt,key_resp_13.keys,key_resp_13.rt,key_resp_19.keys,key_resp_19.rt,ballposx,viewer_distance,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,viewerdistancecm,DVA_to_distance,radius_F,radius_P,r_F,R_P,key_resp_20.keys,key_resp_20.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,Colour_1,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,Colour_2,similarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_7.clicked_name,catchprac,catchnumberprac,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,mouse_6.clicked_name,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,key_resp_22.keys,key_resp_22.rt,Colour1,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,catchresponse,catchnumber,catchtrialorder,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trialnumber,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,mouse_3.clicked_name,mouse_11.clicked_name,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,answer1,rt1,answer2,rt2,answer3,rt3,answer4,rt4,answer5,rt5,answer6,rt6,answer7,rt7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f514e2a5552dd37bc2060f3,5fb5d986fb12541d19833626,2020-11-19_02h34.00.585,Colour_Similarity_Experiment,2020.1.2,Win32,60,5fb5945709dec70f2d595766,,,,,,,,,,,,,,,,,,,4,PF,39,89,1,0,0,response1disk_5,8,7,1.525905,-3,3,1,0,0,rectangle_8,-3,3,1,0,0,,,7,-3,3,1,0,0,,0,5,5,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f514e2a5552dd37bc2060f3,5fb5d986fb12541d19833626,2020-11-19_02h34.00.585,Colour_Similarity_Experiment,2020.1.2,Win32,60,5fb5945709dec70f2d595766,,,,,,,,,,,,,,,,,,,7,PF,-40,102,1,0,0,response7disk_5,7,0,3.158415,6,2,1,0,0,rectangle_8,6,2,1,0,0,,,7,6,2,1,0,0,,0,6,6,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f514e2a5552dd37bc2060f3,5fb5d986fb12541d19833626,2020-11-19_02h34.00.585,Colour_Similarity_Experiment,2020.1.2,Win32,60,5fb5945709dec70f2d595766,,,,,,,,,,,,,,,,,,,,FF,,,,,,,,7,3.942445,,,,,,,,,,,,,,,,,,,,,,,,,,space,3.320105,8,42,107,1,0,0,response1disk,2,-3,-11,1,0,0,rectangle,-3,-11,1,0,0,,4,"[61,91,176,68,219,233,89,169,14,258,127,84,152,289,94,136,99,154,287,282]",-3,-11,1,0,0,0,1,0,0,22,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f514e2a5552dd37bc2060f3,5fb5d986fb12541d19833626,2020-11-19_02h34.00.585,Colour_Similarity_Experiment,2020.1.2,Win32,60,5fb5945709dec70f2d595766,,,,,,,,,,,,,,,,,,,,PF,,,,,,,,7,7.16629,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,46,93,1,0,0,response1disk,1,-1,-1,1,0,0,rectangle,-1,-1,1,0,0,,5,"[61,91,176,68,219,233,89,169,14,258,127,84,152,289,94,136,99,154,287,282]",-1,-1,1,0,0,0,2,1,1,46,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f514e2a5552dd37bc2060f3,5fb5d986fb12541d19833626,2020-11-19_02h34.00.585,Colour_Similarity_Experiment,2020.1.2,Win32,60,5fb5945709dec70f2d595766,,,,,,,,,,,,,,,,,,,,FF,,,,,,,,0,1.44046,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-35,97,1,0,0,response7disk,1,1,-3,1,0,0,rectangle,1,-3,1,0,0,,5,"[61,91,176,68,219,233,89,169,14,258,127,84,152,289,94,136,99,154,287,282]",1,-3,1,0,0,0,3,2,2,151,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f514e2a5552dd37bc2060f3,5fb5d986fb12541d19833626,2020-11-19_02h34.00.585,Colour_Similarity_Experiment,2020.1.2,Win32,60,5fb5945709dec70f2d595766,,,,,,,,,,,,,,,,,,,,PF,,,,,,,,4,2.29961,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,35,-89,1,0,0,response3disk,5,-1,-6,1,0,0,rectangle,-1,-6,1,0,0,,1,"[61,91,176,68,219,233,89,169,14,258,127,84,152,289,94,136,99,154,287,282]",-1,-6,1,0,0,0,4,3,3,49,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f514e2a5552dd37bc2060f3,5fb5d986fb12541d19833626,2020-11-19_02h34.00.585,Colour_Similarity_Experiment,2020.1.2,Win32,60,5fb5945709dec70f2d595766,,,,,,,,,,,,,,,,,,,,FF,,,,,,,,7,1.105985,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,31,85,1,0,0,response1disk,8,11,-4,1,0,0,rectangle,11,-4,1,0,0,,4,"[61,91,176,68,219,233,89,169,14,258,127,84,152,289,94,136,99,154,287,282]",11,-4,1,0,0,0,5,4,4,44,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f514e2a5552dd37bc2060f3,5fb5d986fb12541d19833626,2020-11-19_02h34.00.585,Colour_Similarity_Experiment,2020.1.2,Win32,60,5fb5945709dec70f2d595766,,,,,,,,,,,,,,,,,,,,FF,,,,,,,,7,1.143115,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,36,84,1,0,0,response1disk,8,-3,-12,1,0,0,rectangle,-3,-12,1,0,0,,1,"[61,91,176,68,219,233,89,169,14,258,127,84,152,289,94,136,99,154,287,282]",-3,-12,1,0,0,0,6,5,5,133,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f514e2a5552dd37bc2060f3,5fb5d986fb12541d19833626,2020-11-19_02h34.00.585,Colour_Similarity_Experiment,2020.1.2,Win32,60,5fb5945709dec70f2d595766,,,,,,,,,,,,,,,,,,,,FF,,,,,,,,7,1.186705,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,37,82,1,0,0,response1disk,9,0,-3,1,0,0,rectangle,0,-3,1,0,0,,4,"[61,91,176,68,219,233,89,169,14,258,127,84,152,289,94,136,99,154,287,282]",0,-3,1,0,0,0,7,6,6,90,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f514e2a5552dd37bc2060f3,5fb5d986fb12541d19833626,2020-11-19_02h34.00.585,Colour_Similarity_Experiment,2020.1.2,Win32,60,5fb5945709dec70f2d595766,,,,,,,,,,,,,,,,,,,,PF,,,,,,,,7,1.101345,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,23,65,1,0,0,response1disk,5,1,2,1,0,0,rectangle,1,2,1,0,0,,0,"[61,91,176,68,219,233,89,169,14,258,127,84,152,289,94,136,99,154,287,282]",1,2,1,0,0,0,8,7,7,98,1,,,,,,,,,,,,,,,,,,,,,
