key_resp.keys,key_resp.rt,key_resp_16.keys,key_resp_16.rt,key_resp_2.keys,key_resp_2.rt,X Scale,ratio_pxpermm,screen_size_x,screen_size_y,testsize,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,line_size,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_8.keys,key_resp_8.rt,key_resp_7.keys,key_resp_7.rt,key_resp_12.keys,key_resp_12.rt,key_resp_11.keys,key_resp_11.rt,key_resp_18.keys,key_resp_18.rt,key_resp_21.keys,key_resp_21.rt,key_resp_13.keys,key_resp_13.rt,key_resp_19.keys,key_resp_19.rt,ballposx,viewer_distance,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,viewerdistancecm,DVA_to_distance,radius_F,radius_P,r_F,R_P,key_resp_20.keys,key_resp_20.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,Colour_1,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,Colour_2,similarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,catchnumberprac,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,mouse_7.clicked_name,catchprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,Colour1,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,catchresponse,catchnumber,catchtrialorder,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trialnumber,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,mouse_3.clicked_name,mouse_11.clicked_name,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,answer1,rt1,answer2,rt2,answer3,rt3,answer4,rt4,answer5,rt5,answer6,rt6,answer7,rt7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5b3937c57bc6be00010caf12,5fb5da77803f501d7b68b129,2020-11-18_20h38.33.652,Colour_Similarity_Experiment,2020.1.2,Linux x86_64,60,5fb5945709dec70f2d595766,,,,,,,,,,,,,,,,,,,8,PF,97,-25,1,0,0,response3disk_5,9,5,2.797,11,-1,1,0,0,rectangle_8,11,-1,1,0,0,6,11,-1,1,0,0,0,5,5,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5b3937c57bc6be00010caf12,5fb5da77803f501d7b68b129,2020-11-18_20h38.33.652,Colour_Similarity_Experiment,2020.1.2,Linux x86_64,60,5fb5945709dec70f2d595766,,,,,,,,,,,,,,,,,,,7,FF,50,91,1,0,0,response1disk_5,1,7,1.656,9,-5,1,0,0,rectangle_8,9,-5,1,0,0,6,9,-5,1,0,0,0,6,6,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5b3937c57bc6be00010caf12,5fb5da77803f501d7b68b129,2020-11-18_20h38.33.652,Colour_Similarity_Experiment,2020.1.2,Linux x86_64,60,5fb5945709dec70f2d595766,,,,,,,,,,,,,,,,,,,,FF,,,,,,,,7,1.85,,,,,,,,,,,,,,,,,,,,,,,,,,space,4.305,5,47,77,1,0,0,response1disk,9,-7,-3,1,0,0,rectangle,-7,-3,1,0,0,,6,"[293,322,133,179,87,316,258,78,106,286,147,45,79,124,141,235,273,67,236,229]",-7,-3,1,0,0,0,1,0,0,61,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5b3937c57bc6be00010caf12,5fb5da77803f501d7b68b129,2020-11-18_20h38.33.652,Colour_Similarity_Experiment,2020.1.2,Linux x86_64,60,5fb5945709dec70f2d595766,,,,,,,,,,,,,,,,,,,,PF,,,,,,,,7,2.798,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,56,88,1,0,0,response1disk,2,-3,0,1,0,0,rectangle,-3,0,1,0,0,,0,"[293,322,133,179,87,316,258,78,106,286,147,45,79,124,141,235,273,67,236,229]",-3,0,1,0,0,0,2,1,1,130,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5b3937c57bc6be00010caf12,5fb5da77803f501d7b68b129,2020-11-18_20h38.33.652,Colour_Similarity_Experiment,2020.1.2,Linux x86_64,60,5fb5945709dec70f2d595766,,,,,,,,,,,,,,,,,,,,FF,,,,,,,,7,3.341,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,50,81,1,0,0,response1disk,2,3,1,1,0,0,rectangle,3,1,1,0,0,,4,"[293,322,133,179,87,316,258,78,106,286,147,45,79,124,141,235,273,67,236,229]",3,1,1,0,0,0,3,2,2,22,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5b3937c57bc6be00010caf12,5fb5da77803f501d7b68b129,2020-11-18_20h38.33.652,Colour_Similarity_Experiment,2020.1.2,Linux x86_64,60,5fb5945709dec70f2d595766,,,,,,,,,,,,,,,,,,,,PF,,,,,,,,0,3.539,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,-46,71,1,0,0,response7disk,8,1,1,1,0,0,rectangle,1,1,1,0,0,,5,"[293,322,133,179,87,316,258,78,106,286,147,45,79,124,141,235,273,67,236,229]",1,1,1,0,0,0,4,3,3,153,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5b3937c57bc6be00010caf12,5fb5da77803f501d7b68b129,2020-11-18_20h38.33.652,Colour_Similarity_Experiment,2020.1.2,Linux x86_64,60,5fb5945709dec70f2d595766,,,,,,,,,,,,,,,,,,,,FF,,,,,,,,7,3.118,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,41,88,1,0,0,response1disk,5,1,8,1,0,0,rectangle,1,8,1,0,0,,6,"[293,322,133,179,87,316,258,78,106,286,147,45,79,124,141,235,273,67,236,229]",1,8,1,0,0,0,5,4,4,80,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5b3937c57bc6be00010caf12,5fb5da77803f501d7b68b129,2020-11-18_20h38.33.652,Colour_Similarity_Experiment,2020.1.2,Linux x86_64,60,5fb5945709dec70f2d595766,,,,,,,,,,,,,,,,,,,,PF,,,,,,,,7,3.274,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,38,75,1,0,0,response1disk,6,-9,0,1,0,0,rectangle,-9,0,1,0,0,,5,"[293,322,133,179,87,316,258,78,106,286,147,45,79,124,141,235,273,67,236,229]",-9,0,1,0,0,0,6,5,5,144,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5b3937c57bc6be00010caf12,5fb5da77803f501d7b68b129,2020-11-18_20h38.33.652,Colour_Similarity_Experiment,2020.1.2,Linux x86_64,60,5fb5945709dec70f2d595766,,,,,,,,,,,,,,,,,,,,FF,,,,,,,,0,3.037,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-43,86,1,0,0,response7disk,1,-3,-2,1,0,0,rectangle,-3,-2,1,0,0,,3,"[293,322,133,179,87,316,258,78,106,286,147,45,79,124,141,235,273,67,236,229]",-3,-2,1,0,0,0,7,6,6,151,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5b3937c57bc6be00010caf12,5fb5da77803f501d7b68b129,2020-11-18_20h38.33.652,Colour_Similarity_Experiment,2020.1.2,Linux x86_64,60,5fb5945709dec70f2d595766,,,,,,,,,,,,,,,,,,,,FF,,,,,,,,3,6.063,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,-38,-91,1,0,0,response5disk,9,1,1,1,0,0,rectangle,1,1,1,0,0,,0,"[293,322,133,179,87,316,258,78,106,286,147,45,79,124,141,235,273,67,236,229]",1,1,1,0,0,0,8,7,7,17,1,,,,,,,,,,,,,,,,,,,,,
